Date,Open,High,Low,Close,Adj Close,Volume
2014-07-17,1206.900024,1214.380005,1188.030029,1190.550049,1026.293579,134768
2014-07-18,1225.500000,1243.000000,1217.500000,1221.319946,1052.818481,397452
2014-07-21,1224.969971,1235.000000,1222.050049,1232.150024,1062.154175,97494
2014-07-22,1233.949951,1269.500000,1231.849976,1265.530029,1090.929199,184560
2014-07-23,1270.500000,1297.500000,1266.500000,1293.449951,1114.996826,213324
2014-07-24,1299.500000,1300.000000,1283.380005,1297.280029,1118.298218,172274
2014-07-25,1297.500000,1306.680054,1284.400024,1302.469971,1122.772217,126220
2014-07-28,1292.500000,1299.900024,1277.500000,1294.349976,1120.072632,103880
2014-07-30,1290.000000,1304.949951,1287.550049,1296.719971,1122.123291,66914
2014-07-31,1289.400024,1295.880005,1284.650024,1288.650024,1115.140137,66726
2014-08-01,1288.500000,1294.000000,1254.500000,1258.219971,1088.807251,121176
2014-08-04,1261.099976,1271.000000,1244.050049,1263.469971,1093.350220,123824
2014-08-05,1275.000000,1275.000000,1245.949951,1261.280029,1091.455566,112300
2014-08-06,1262.000000,1267.349976,1247.000000,1254.699951,1085.761230,95492
2014-08-07,1250.000000,1250.500000,1229.250000,1235.099976,1068.799927,134774
2014-08-08,1235.000000,1252.819946,1232.500000,1238.000000,1071.309570,100858
2014-08-11,1250.000000,1250.500000,1227.599976,1234.380005,1068.177368,65132
2014-08-12,1240.000000,1242.069946,1220.500000,1236.849976,1070.314209,69776
2014-08-13,1235.000000,1264.469971,1235.000000,1247.449951,1079.487061,142258
2014-08-14,1250.000000,1264.969971,1244.050049,1248.280029,1080.205566,111768
2014-08-18,1247.000000,1252.800049,1236.699951,1243.219971,1075.826904,73424
2014-08-19,1249.000000,1250.000000,1217.550049,1219.180054,1055.023926,234506
2014-08-20,1235.000000,1235.000000,1215.750000,1218.219971,1054.192993,209764
2014-08-21,1220.500000,1230.000000,1212.969971,1215.969971,1052.245972,219936
2014-08-22,1222.500000,1234.000000,1219.000000,1230.819946,1065.096436,214552
2014-08-25,1235.000000,1262.699951,1234.849976,1260.569946,1090.840942,278062
2014-08-26,1260.500000,1274.949951,1249.500000,1266.719971,1096.162720,169464
2014-08-27,1269.449951,1282.900024,1257.949951,1272.680054,1101.320313,131636
2014-08-28,1280.000000,1280.000000,1258.550049,1262.300049,1092.337646,75306
2014-09-01,1262.500000,1280.000000,1261.530029,1268.619995,1097.806885,92324
2014-09-02,1270.000000,1276.000000,1257.500000,1269.550049,1098.611694,94688
2014-09-03,1275.000000,1306.469971,1270.500000,1300.650024,1125.524048,318464
2014-09-04,1306.500000,1313.650024,1289.250000,1292.069946,1118.099609,175362
2014-09-05,1296.000000,1310.000000,1291.550049,1298.500000,1123.663696,74542
2014-09-08,1302.750000,1325.000000,1300.300049,1318.030029,1140.564087,259694
2014-09-09,1325.000000,1333.500000,1313.000000,1315.150024,1138.072144,78894
2014-09-10,1316.500000,1327.500000,1297.530029,1301.619995,1126.363281,102312
2014-09-11,1310.000000,1312.500000,1296.000000,1298.050049,1123.274414,75130
2014-09-12,1297.949951,1311.719971,1296.500000,1302.930054,1127.497070,55942
2014-09-15,1303.750000,1307.400024,1277.069946,1279.380005,1107.117920,95598
2014-09-16,1284.500000,1286.969971,1274.150024,1277.449951,1105.448120,75328
2014-09-17,1285.000000,1302.349976,1281.930054,1294.219971,1119.959839,100648
2014-09-18,1296.000000,1324.400024,1290.500000,1318.319946,1140.815186,94910
2014-09-19,1319.030029,1366.619995,1319.030029,1354.030029,1171.716797,227200
2014-09-22,1354.050049,1367.500000,1340.000000,1360.300049,1177.142578,95906
2014-09-23,1363.000000,1390.000000,1341.650024,1344.449951,1163.426758,145346
2014-09-24,1347.500000,1349.349976,1316.180054,1321.719971,1143.757080,143280
2014-09-25,1325.000000,1362.900024,1325.000000,1353.819946,1171.534790,121478
2014-09-26,1357.500000,1361.930054,1335.050049,1341.430054,1160.813354,91656
2014-09-29,1349.500000,1388.900024,1338.819946,1384.000000,1197.651733,214076
2014-09-30,1385.000000,1389.969971,1356.069946,1369.099976,1184.757446,313682
2014-10-01,1374.500000,1401.000000,1369.900024,1387.849976,1200.983521,164292
2014-10-07,1382.500000,1417.000000,1363.930054,1366.599976,1182.594238,127156
2014-10-08,1367.500000,1373.500000,1325.500000,1340.680054,1160.164185,185914
2014-10-09,1345.000000,1360.599976,1344.000000,1353.050049,1170.868774,101828
2014-10-10,1354.949951,1362.449951,1334.449951,1339.569946,1159.203613,313930
2014-10-13,1342.500000,1365.000000,1335.000000,1360.180054,1177.038818,238866
2014-10-14,1367.500000,1370.000000,1339.750000,1349.849976,1168.099731,199312
2014-10-15,1349.849976,1349.849976,1349.849976,1349.849976,1168.099731,0
2014-10-16,1362.000000,1375.780029,1332.500000,1339.430054,1159.082642,316262
2014-10-17,1237.500000,1254.750000,1216.550049,1222.449951,1057.853516,1151042
2014-10-20,1240.000000,1248.650024,1208.400024,1211.680054,1048.533691,311676
2014-10-21,1215.500000,1222.119995,1207.819946,1216.719971,1052.895020,195100
2014-10-22,1240.000000,1241.500000,1222.500000,1226.199951,1061.098633,249564
2014-10-27,1257.530029,1257.530029,1225.500000,1229.150024,1063.651245,191226
2014-10-28,1240.000000,1240.449951,1227.500000,1239.099976,1072.261841,121068
2014-10-29,1238.949951,1254.500000,1237.500000,1251.319946,1087.223389,137244
2014-10-30,1258.400024,1286.500000,1254.469971,1278.949951,1111.229980,245042
2014-10-31,1281.000000,1310.000000,1281.000000,1302.280029,1131.500732,708984
2014-11-03,1322.500000,1322.699951,1290.449951,1294.650024,1124.870972,273154
2014-11-05,1297.500000,1310.530029,1293.500000,1300.430054,1129.893188,122494
2014-11-07,1300.569946,1307.319946,1279.400024,1286.750000,1118.006958,113492
2014-11-10,1294.000000,1294.000000,1275.500000,1283.750000,1115.400757,100718
2014-11-11,1291.000000,1296.800049,1279.430054,1288.780029,1119.770874,72748
2014-11-12,1285.500000,1305.000000,1285.500000,1295.880005,1125.939697,80208
2014-11-13,1295.900024,1301.500000,1283.500000,1294.030029,1124.332153,96758
2014-11-14,1292.750000,1306.250000,1288.500000,1303.000000,1132.125854,89648
2014-11-17,1299.000000,1312.150024,1297.430054,1309.250000,1137.556519,90530
2014-11-18,1308.500000,1312.500000,1290.750000,1293.780029,1124.115356,114250
2014-11-19,1295.500000,1297.000000,1280.500000,1288.819946,1119.805664,120490
2014-11-20,1297.469971,1305.000000,1281.699951,1302.719971,1131.882813,120932
2014-11-21,1303.000000,1316.969971,1293.000000,1308.150024,1136.600830,122572
2014-11-24,1306.030029,1328.119995,1306.030029,1326.099976,1152.196899,135504
2014-11-25,1325.000000,1340.000000,1310.000000,1317.380005,1144.620239,78402
2014-11-26,1310.000000,1326.300049,1308.800049,1314.380005,1142.013916,69672
2014-11-27,1314.500000,1329.500000,1313.000000,1324.569946,1150.867676,56702
2014-11-28,1330.000000,1344.000000,1318.000000,1321.550049,1148.243530,103518
2014-12-01,1321.500000,1350.000000,1321.500000,1346.569946,1169.982544,122492
2014-12-02,1346.000000,1354.500000,1323.569946,1328.030029,1153.873901,116194
2014-12-03,1330.569946,1334.050049,1309.500000,1317.530029,1144.750732,124802
2014-12-04,1332.000000,1332.500000,1310.000000,1318.319946,1145.437012,71026
2014-12-05,1323.000000,1324.000000,1287.500000,1289.219971,1120.153198,129922
2014-12-08,1292.500000,1293.880005,1252.750000,1256.849976,1092.028076,178734
2014-12-09,1260.000000,1279.219971,1256.219971,1258.719971,1093.652954,109626
2014-12-10,1256.000000,1265.500000,1249.300049,1255.199951,1090.594482,93182
2014-12-11,1255.900024,1261.469971,1242.650024,1246.280029,1082.844360,107098
2014-12-12,1249.500000,1260.930054,1213.500000,1227.849976,1066.831055,202122
2014-12-15,1196.900024,1196.900024,1178.219971,1181.400024,1026.472534,239616
2014-12-16,1175.000000,1228.819946,1174.119995,1221.569946,1061.374756,232422
2014-12-17,1225.000000,1235.949951,1202.849976,1222.150024,1061.878662,133894
2014-12-18,1225.500000,1233.250000,1218.119995,1229.530029,1068.290894,88266
2014-12-19,1232.000000,1260.119995,1232.000000,1254.469971,1089.960327,100908
2014-12-22,1266.400024,1266.400024,1237.569946,1256.500000,1091.723999,80760
2014-12-23,1259.099976,1267.500000,1248.069946,1258.530029,1093.487549,62280
2014-12-24,1258.000000,1259.250000,1236.969971,1240.569946,1077.882935,75618
2014-12-26,1242.500000,1255.449951,1233.349976,1252.750000,1088.466064,87044
2014-12-29,1252.550049,1267.500000,1252.550049,1262.349976,1096.806641,52376
2014-12-30,1262.500000,1271.150024,1257.750000,1265.650024,1099.674316,47486
2014-12-31,1263.000000,1280.000000,1263.000000,1277.349976,1109.839722,52082
